task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL) var0),0.9256090819835663,1.9279589615762234,22830,0.929160953439853,2.0716752858310177e-06
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_1 3 IS_BLOCK) var0),1.1809500362724066,2.5563300754874945,29381,0.9405955903459712,1.4688450869221623e-06
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (AT_LEAST_1 3 IS_UPRIGHT) (ODD_1 IS_HORIZONTAL) var0),1.409315349534154,3.1520322393625975,35345,0.9482467402345305,1.1215398196439076e-06
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (EXACTLY_1 3 IS_UPRIGHT) (ODD_1 IS_HORIZONTAL) var0),1.4473899062722921,3.2505919449031353,36335,0.9493339087377092,1.07515270916379e-06
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (EXACTLY_1 1 IS_RED) (ODD_1 IS_HORIZONTAL) var0),1.5209024455398321,3.4489187337458134,38257,0.9513147417673862,9.868254533234875e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_1 3 IS_UPRIGHT) var0),1.7375684175640345,3.9950049612671137,43889,0.9563045666296027,7.951865165059918e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (ODD_2 IS_RED IS_GROUNDED) var0),2.157871959730983,5.994970915839076,54838,0.9635404215492441,5.518533695483098e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_2 2 IS_YELLOW IS_BLOCK) var0),2.278027730062604,6.30427404306829,57987,0.9651919550968164,4.990523367463134e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_2 3 IS_YELLOW IS_VERTICAL) var0),2.380372991785407,6.5711652263998985,60661,0.9664750677748738,4.6189750126429055e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_2 3 IS_YELLOW IS_BLOCK) var0),2.3916236739605665,6.600391259416938,60956,0.9666106290021499,4.572976372977695e-07
(AT_LEAST_1 3 IS_BLUE),(AT_LEAST_1 3 IS_BLUE var0),0.005241848528385162,0.011259295046329498,154,0.38646607416784834,0.00123959909497738
(AT_LEAST_1 3 IS_BLUE),(AT_LEAST_2 3 IS_BLUE IS_BLUE var0),0.2716523017734289,0.6104220449924469,6109,0.8556317613053336,1.0209950695848734e-05
(AT_LEAST_1 3 IS_BLUE),(OR (EVEN_1 IS_FLAT) (AT_LEAST_1 3 IS_BLUE) var0),0.45545652508735657,1.2959866095334291,10834,0.8896147181816507,5.237773918578273e-06
(AT_LEAST_1 3 IS_BLUE),(OR (AT_LEAST_1 3 IS_BLUE) (EVEN_1 IS_FLAT) var0),0.5475788712501526,1.6562149729579687,13255,0.9009850661531024,4.199937411511581e-06
(AT_LEAST_1 3 IS_BLUE),(OR (EXACTLY_1 3 IS_BLUE) (ODD_2 IS_RED IS_UPSIDE_DOWN) var0),0.6283386293798685,1.9729885458946228,15365,0.9091006325373225,3.5070552429456038e-06
(AT_LEAST_1 3 IS_BLUE),(OR (AT_LEAST_1 3 IS_BLUE) (EXACTLY_2 2 IS_BLUE IS_PYRAMID) var0),0.6790107805281878,2.1842922642827034,16676,0.9134468960697909,3.142095309124294e-06
(AT_LEAST_1 3 IS_BLUE),(OR (AT_LEAST_1 3 IS_BLUE) (MORE_THAN IS_PYRAMID IS_PYRAMID) var0),0.7017099317163229,2.283361120149493,17279,0.9153018599893542,3.013673386292044e-06
(AT_LEAST_1 3 IS_BLUE),(OR (EXACTLY_1 3 IS_BLUE) (EVEN_2 IS_BLUE IS_UPRIGHT) var0),0.7131029721349478,2.324591401964426,17579,0.9161951232696174,2.9459161805285065e-06
(AT_LEAST_1 3 IS_BLUE),(OR (AT_LEAST_1 3 IS_BLUE) (EVEN_2 IS_BLUE IS_PYRAMID) var0),0.7950334940105677,2.6517031211405993,19709,0.922003713087375,2.531716380737981e-06
(AT_LEAST_1 3 IS_BLUE),(OR (AT_LEAST_1 3 IS_BLUE) (MORE_THAN IS_BLOCK IS_BLOCK) var0),0.8316486366093159,2.7873110324144363,20678,0.9243792356997603,2.375738350575e-06
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (ODD_1 IS_CHEESECAKE) (MORE_THAN IS_FLAT IS_VERTICAL) var0),3.591195210814476,7.848329832777381,93004,0.9764120210574698,2.0085998173312123e-07
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (AT_LEAST_1 2 IS_WEDGE) (MORE_THAN IS_HORIZONTAL IS_VERTICAL) var0),5.374668663367629,11.336148798465729,138693,0.9824786559899356,8.59721445427694e-08
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL) var0),5.928380044177175,12.42246980406344,152444,0.9835424414488372,6.966602855439996e-08
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (ODD_1 IS_CHEESECAKE) (MORE_THAN IS_HORIZONTAL IS_VERTICAL) var0),6.552773337811232,13.615322977304459,167848,0.9845029769755843,5.580692076690967e-08
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (EXACTLY_1 1 IS_CHEESECAKE) (MORE_THAN IS_FLAT IS_VERTICAL) var0),6.7398023046553135,14.995348528027534,172308,0.9847446305856877,5.262346220308567e-08
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (EXACTLY_1 2 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL) var0),7.31413639895618,16.019649114459753,186371,0.9854226169760884,4.411820246965319e-08
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (EVEN_1 IS_WEDGE) (MORE_THAN IS_HORIZONTAL IS_VERTICAL) var0),8.325215946882963,17.840231984853745,211365,0.9863869148738701,3.384460140133751e-08
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (EXACTLY_1 2 IS_WEDGE) (MORE_THAN IS_HORIZONTAL IS_VERTICAL) var0),12.339887266978621,26.062597811222076,308294,0.988651079137394,1.6568802180472308e-08
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (AT_LEAST_1 1 IS_CHEESECAKE) (MORE_THAN IS_FLAT IS_VERTICAL) var0),12.385905042290688,26.14214356429875,309391,0.9886692023901156,1.6473176770953197e-08
(OR (EVEN_1 IS_PYRAMID) (MORE_THAN IS_HORIZONTAL IS_VERTICAL)),(OR (EXACTLY_1 1 IS_CHEESECAKE) (MORE_THAN IS_HORIZONTAL IS_VERTICAL) var0),13.360366901382804,27.76365341991186,332449,0.9890268823715865,1.4620898400509042e-08
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(EVEN_2 IS_YELLOW IS_PYRAMID var0),0.001638408750295639,0.004996836185455322,52,0.20899284606295832,0.0026026972468615878
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(EXACTLY_2 2 IS_YELLOW IS_PYRAMID var0),0.006258184090256691,0.017379015684127808,177,0.4131393148795458,0.0010751305994973605
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID var0),0.006626354530453682,0.018647287040948868,186,0.42255158671360626,0.001026624568545762
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(EXACTLY_2 2 IS_PYRAMID IS_YELLOW var0),0.3451407663524151,0.7750940639525652,7762,0.870210516857562,7.677099303396733e-06
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(OR (EVEN_1 IS_PYRAMID) (AT_LEAST_2 2 IS_YELLOW IS_PYRAMID) var0),0.4607112221419811,1.1474384311586618,10682,0.8888119378085069,5.329417676221282e-06
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(OR (EVEN_1 IS_BLUE) (AT_LEAST_2 2 IS_YELLOW IS_PYRAMID) var0),0.46940841525793076,1.1787498909980059,10909,0.8900061585320328,5.20407502044339e-06
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(OR (EVEN_1 IS_PYRAMID) (EXACTLY_2 2 IS_YELLOW IS_PYRAMID) var0),0.5965772401541471,1.5892103984951973,14186,0.9047430244670466,3.880880046402608e-06
(AT_LEAST_2 2 IS_YELLOW IS_PYRAMID),(AT_LEAST_2 2 IS_PYRAMID IS_YELLOW var0),0.6004841960966587,1.6020308397710323,14288,0.9051371305651841,3.847633088557158e-06
