task_name,program,search_time,evaluation_time,nb_programs,cumulative_probability,probability
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL) var0),1.886831425023047,2.9910763129637417,23229,0.9284214980735659,2.0031463228477017e-06
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (AT_LEAST_1 3 IS_UPRIGHT) (ODD_1 IS_HORIZONTAL) var0),2.9261728810806744,4.943269640944891,35763,0.9469336130295382,1.089438979058783e-06
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (EXACTLY_1 3 IS_UPRIGHT) (ODD_1 IS_HORIZONTAL) var0),3.0240831520632128,5.141421433937467,37070,0.9483170293840723,1.0261090267090938e-06
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (EXACTLY_1 1 IS_RED) (ODD_1 IS_HORIZONTAL) var0),3.1706938620700384,5.418574756921771,38918,0.950136984813211,9.470752625771288e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_2 2 IS_YELLOW IS_BLOCK) var0),4.8480710040448685,9.592917424024563,59701,0.9640453393221743,4.715491049716043e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_2 3 IS_YELLOW IS_BLOCK) var0),5.089596344043457,10.043975772000522,62651,0.9653796963629677,4.3289856495328253e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_2 3 IS_YELLOW IS_VERTICAL) var0),5.139527166061271,10.144156506998115,63251,0.9656370626446211,4.250026761840246e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (EVEN_2 IS_UPRIGHT IS_BLOCK) var0),5.716407873110256,11.238274151000041,70652,0.9684876625413972,3.4832134055183776e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (ODD_2 IS_RED IS_GROUNDED) var0),5.936421695084391,11.668146554992745,73539,0.9694541329645163,3.219326240309454e-07
(OR (AT_LEAST_1 3 IS_BLOCK) (ODD_1 IS_HORIZONTAL)),(OR (ODD_1 IS_HORIZONTAL) (AT_LEAST_2 2 IS_UPRIGHT IS_BLOCK) var0),10.527415044072768,20.40920979794464,131069,0.9799204581414063,1.0098693374505003e-07
